emp_id,name,superior_emp_id,joined_date_timestamp,emp_dept_id,gender,salary
1,,,2016-06-15 04:37:53,7.0,Other,111107.9
2,Jason Rodriguez,171.0,2020-02-13 02:31:07,1.0,Female,80486.58
3,Justin Peterson,224.0,2016-03-18 21:29:35,7.0,Male,
4,George Cook,23.0,2016-06-12 07:44:30,3.0,Female,31911.24
5,Taylor Ayala,136.0,2019-09-26 05:00:54,1.0,Other,102134.69
6,Ethan West,270.0,2021-12-27 02:37:15,6.0,Male,99235.12
7,Charles Tyler,249.0,2016-04-23 12:34:38,7.0,Other,106260.76
8,Jeffrey Woods,43.0,2015-12-04 18:32:37,5.0,Female,79878.33
9,Patricia Cooper,199.0,2023-07-19 21:36:06,6.0,Male,37934.16
10,Lee Rose,,2023-10-12 20:00:35,4.0,,95129.7
11,Steven Lucas,254.0,2020-12-04 19:03:17,4.0,,43838.55
12,Joshua Hogan,237.0,,3.0,,53072.61
13,Jennifer Hicks,223.0,2023-11-01 13:31:50,1.0,Male,75928.83
14,,,2018-08-26 09:36:56,7.0,Male,87158.38
15,Angela Tucker,242.0,,6.0,,87521.51
16,George Myers,215.0,2020-01-08 03:03:49,3.0,Other,96970.26
17,Jasmine Osborne,266.0,2016-10-23 05:31:07,5.0,Female,99520.63
18,Brandon Fuller,189.0,2015-11-04 03:40:29,6.0,Male,102204.9
19,Yolanda Sullivan,,2015-10-13 12:49:16,1.0,Other,96460.05
20,Susan Fowler,231.0,2024-02-01 23:16:43,1.0,Female,108425.52
21,Lorraine Hall,257.0,2023-12-25 06:28:15,6.0,Female,60607.28
22,Mrs. Kimberly Gray,105.0,2023-10-18 02:48:11,5.0,,
23,Chad Lee,259.0,2023-05-31 05:03:38,1.0,Female,50783.52
24,Melinda Blevins,,2019-12-04 19:07:45,3.0,Female,73556.31
25,Luke Dixon,132.0,2022-09-18 19:49:58,,Other,50173.48
26,Steven Flynn,4.0,2017-01-27 12:46:02,,Other,41008.47
27,Michael Powell,186.0,2021-12-26 06:20:43,7.0,Other,99325.74
28,John Potter,93.0,2021-01-18 12:01:21,1.0,,53893.13
29,Alexander Fields,193.0,2021-04-05 09:09:20,5.0,Male,75254.66
30,Jennifer Robbins,,2018-05-08 23:58:12,7.0,Other,81617.73
31,David Miller,229.0,2018-01-05 12:04:57,,Other,92142.14
32,Jasmine Torres,141.0,2016-07-14 23:48:17,1.0,Female,68530.8
33,Patricia Carter,274.0,,3.0,Other,110237.94
34,Joseph Morgan,238.0,2022-03-09 14:09:19,5.0,Male,64785.08
35,,,2017-08-06 18:36:49,3.0,,33906.57
36,Rebekah Hughes,102.0,,3.0,Female,107910.59
37,Jordan Smith,48.0,2016-08-14 10:01:53,5.0,Female,112991.99
38,Natalie Hooper,230.0,2023-03-20 07:17:28,7.0,,43846.3
39,Rick Johnson,124.0,2023-03-29 03:46:58,4.0,Female,
40,Jose Hawkins,,2024-06-08 20:51:36,1.0,Male,52187.84
41,Kimberly Wood,150.0,2021-05-29 16:36:31,5.0,Male,87872.66
42,Dillon Hunter,186.0,2025-04-06 19:48:18,,Female,75949.8
43,Deborah Williams,97.0,2019-01-08 21:43:50,,Male,72808.1
44,Craig Gonzalez,63.0,2024-01-30 02:38:20,6.0,Male,61770.55
45,Justin Miller,25.0,2015-11-09 10:44:03,2.0,Other,100245.93
46,Justin Anderson,215.0,2020-12-15 18:16:42,,Female,30478.38
47,Taylor Taylor,,,3.0,Female,114326.4
48,James Johnson DDS,,2023-10-19 00:48:32,,Male,33706.06
49,Gina Rocha,106.0,2025-05-25 00:53:16,4.0,,42870.59
50,Lisa Smith,206.0,2024-02-03 12:33:00,4.0,Male,
51,Kevin Vazquez,148.0,2023-12-23 08:58:36,1.0,Other,117885.84
52,,67.0,2021-09-12 18:59:32,1.0,Other,92120.88
53,Michael Fisher,2.0,2023-05-27 21:20:21,2.0,,84900.85
54,Jerry Cain,274.0,2021-08-31 12:26:09,2.0,Female,62244.05
55,Catherine Rowland,284.0,2018-11-02 18:49:27,3.0,,
56,Jaime Baker,83.0,2016-08-16 19:39:36,6.0,Female,119992.2
57,Jamie Jones,38.0,2018-07-16 11:24:14,5.0,Other,66967.29
58,Derek Weiss,284.0,2020-08-06 11:15:46,2.0,Other,102091.09
59,James Willis,158.0,2021-01-17 02:37:29,4.0,Male,
60,,226.0,2020-08-22 17:15:26,6.0,Female,41907.38
61,Ralph Mccarthy,3.0,2017-05-23 14:05:00,3.0,Male,54001.37
62,Deborah Gonzales,157.0,2019-09-10 17:30:59,1.0,Male,65431.98
63,Travis Gibson,279.0,2025-04-15 03:00:38,5.0,Other,100585.77
64,Denise Friedman,,2025-05-06 11:38:31,5.0,Female,74774.46
65,Jeffrey Crawford,79.0,2018-08-31 00:06:34,1.0,Female,35645.79
66,Andrew Bolton,292.0,2017-10-22 08:22:38,7.0,Other,
67,Seth Snow,225.0,,5.0,Male,33207.22
68,Amanda Gordon,26.0,2019-04-28 04:11:22,,,46419.64
69,Stephanie Smith,54.0,2020-06-22 19:11:50,4.0,Female,87956.94
70,Stephen Savage,155.0,2022-02-20 10:47:39,7.0,Other,106012.92
71,Jason Coleman,282.0,2020-05-31 07:40:21,1.0,Female,83713.42
72,Christopher Williams MD,127.0,2015-10-14 09:52:47,,Male,102720.14
73,Elizabeth Glenn,146.0,2024-08-07 18:35:45,6.0,Female,63740.46
74,Joseph Garcia,191.0,2023-07-08 02:05:07,3.0,Male,85624.19
75,Renee Meyer,70.0,2024-11-01 02:08:03,2.0,,98035.85
76,Jenna Salinas,255.0,2016-09-18 22:56:03,7.0,Other,73279.95
77,Kelly Gill,28.0,2023-03-13 01:05:59,3.0,Other,42627.28
78,Brittany Taylor,205.0,2022-12-25 02:23:16,3.0,Female,88862.37
79,Valerie Sanchez,3.0,2019-03-01 20:09:59,5.0,Other,75443.59
80,Timothy Smith,,2019-02-08 08:53:00,,,87408.23
81,Amanda David,168.0,2021-01-15 03:41:31,1.0,Male,
82,Tammy Torres,123.0,2022-12-22 22:30:24,,Other,32939.51
83,Samantha Lewis,241.0,2020-05-15 12:12:51,1.0,Other,113622.42
84,Rachel Owens,279.0,2016-01-03 03:58:47,2.0,Other,34221.73
85,Matthew Hamilton,6.0,2022-08-12 02:45:47,7.0,,35770.31
86,Billy Strong,169.0,2025-02-05 13:15:26,,Male,62316.72
87,John Le,132.0,2016-04-15 11:46:26,2.0,Other,37416.24
88,Joe Atkins,230.0,2017-05-19 16:43:41,7.0,,67315.09
89,Jill Gomez,260.0,2024-12-13 14:01:01,6.0,Other,59980.3
90,Timothy Rodriguez,,2021-09-26 03:12:35,6.0,Male,102348.35
91,Erika Miller,164.0,2017-03-06 05:40:05,6.0,Female,107910.09
92,Catherine Martinez,107.0,2019-01-25 13:15:36,,Female,111954.85
93,Scott Martin,170.0,2023-08-25 09:13:19,,,54270.65
94,Brett Robinson,202.0,2017-01-12 02:34:49,2.0,Other,80742.09
95,Mary Brown,30.0,2022-11-19 00:28:37,7.0,,54543.95
96,Michael Taylor,267.0,2018-02-22 10:22:19,7.0,Male,79294.16
97,Tyler Weiss,70.0,2016-04-06 16:35:06,6.0,Female,117026.86
98,,233.0,2019-08-19 18:59:38,4.0,Female,82927.32
99,Gloria Thomas,,2019-07-25 21:11:07,1.0,Female,59973.46
100,Michael Reed,21.0,2015-09-23 02:32:00,1.0,Other,45727.79
101,Amy Brown,285.0,2019-06-17 04:02:37,4.0,Male,44019.56
102,Calvin Sparks,66.0,2019-10-24 06:04:15,7.0,Male,57982.19
103,Jason Joyce,292.0,2024-10-20 17:42:19,4.0,Other,101154.93
104,Carlos Butler,102.0,2021-10-26 21:41:41,3.0,Female,97037.12
105,Hannah Vaughn,9.0,2016-02-17 06:00:57,7.0,Female,102062.63
106,Katie Smith,40.0,2015-08-15 05:43:47,5.0,Other,116882.79
107,Nathan Bishop,5.0,2020-07-26 12:11:16,2.0,,117940.85
108,Morgan Frye,259.0,2023-02-17 04:47:27,5.0,Male,87339.84
109,Mark Jones,226.0,2024-08-25 06:34:20,,Other,74555.35
110,Jessica Castillo,64.0,2019-01-21 18:30:16,6.0,Other,77434.58
111,Mrs. Alyssa Chandler,178.0,2024-12-19 22:56:51,,,46054.68
112,Holly Garcia,106.0,2018-04-23 10:40:58,3.0,Female,68547.88
113,Steven Jones,294.0,2017-04-15 20:41:55,7.0,,30509.37
114,Heather King,116.0,2016-07-12 15:24:23,4.0,Female,60949.95
115,,2.0,2017-02-21 05:51:43,6.0,,34874.1
116,Kristen Wilson,139.0,2019-12-27 07:04:00,3.0,Female,41276.7
117,Thomas Mitchell,281.0,2024-08-30 18:51:02,7.0,,100317.73
118,David Davis,39.0,2020-10-23 05:21:35,,Other,111768.89
119,Tara Alexander,235.0,2017-06-28 11:58:10,,Male,
120,Stacey Howard,118.0,2022-03-03 08:44:33,,Male,85905.54
121,Brandi Smith,68.0,2018-08-19 03:07:27,4.0,Male,35933.75
122,Aaron Butler,276.0,2019-02-17 13:45:06,5.0,Female,65305.4
123,Derek Jackson,110.0,2016-12-27 21:02:40,1.0,Female,56938.14
124,Ana Johnson,276.0,2022-03-15 00:23:07,6.0,Female,36929.13
125,Keith Little,187.0,2025-03-30 04:40:44,,Male,31861.33
126,Sheri Collins,22.0,2024-10-23 14:42:55,7.0,Other,45415.37
127,Gina Johnson,156.0,2024-11-16 06:18:22,4.0,,57922.81
128,Spencer Gonzalez,247.0,2018-01-13 11:19:08,5.0,,82595.38
129,Jay Cline PhD,34.0,2019-03-03 22:27:30,3.0,,89993.87
130,Anthony Walker,109.0,2018-03-08 11:23:24,1.0,Female,45404.07
131,Vincent Morales,223.0,2016-08-18 14:43:36,7.0,,112914.39
132,Teresa Jones,117.0,2022-12-12 18:24:35,3.0,Female,
133,Andrew Nichols,201.0,2019-03-30 03:46:13,2.0,Other,64224.48
134,Christine Johnson,295.0,2020-11-11 03:42:58,6.0,Female,95181.5
135,,,2024-07-02 01:54:43,6.0,,94383.03
136,Amber Jenkins,,2017-03-29 13:37:50,1.0,,
137,Felicia White,,2023-08-08 19:37:02,4.0,Other,97643.79
138,Mary Garcia,,2022-06-13 13:28:32,,Other,92311.24
139,Matthew Schneider,246.0,2016-04-21 03:34:21,4.0,Male,71524.01
140,Jordan Mccarthy,38.0,2025-06-29 23:38:38,,Female,42590.86
141,Clinton Rice,137.0,2020-05-22 11:52:08,5.0,Male,30373.42
142,Scott Smith,60.0,2024-11-30 19:12:05,5.0,Male,93209.26
143,Brianna Blake,,2025-06-08 23:08:59,7.0,Female,60095.74
144,Matthew Sims,285.0,2017-04-14 05:21:59,1.0,Male,34963.11
145,Jacob Morton,201.0,2024-12-10 00:35:56,1.0,Female,95491.69
146,Patrick Bass,291.0,2023-06-25 16:56:09,5.0,Other,
147,Miss Tricia Gonzalez MD,47.0,2025-02-19 03:39:45,2.0,Other,95607.18
148,Katherine Watson,65.0,2016-06-15 08:12:19,3.0,Other,80523.08
149,Sue Davila,295.0,2022-09-25 03:35:54,3.0,Female,100513.31
150,James Taylor,,2016-10-20 09:54:15,4.0,,92942.51
151,Katherine Fox,274.0,2017-04-03 16:12:09,5.0,Male,39678.0
152,Rebecca Jimenez,220.0,2019-07-04 17:34:14,,Male,54674.87
153,Lynn Butler,,2020-12-05 01:03:45,5.0,Other,113481.57
154,John Young,,2020-02-11 11:57:50,1.0,,99505.78
155,Michelle Thomas,115.0,2016-06-17 12:23:06,4.0,,
156,Robert Jackson,263.0,2016-04-02 14:23:32,5.0,Female,55495.11
157,Cassidy Grant,215.0,2022-05-11 16:08:33,,Female,
158,Martha Ingram,,2019-10-20 04:52:02,,,56656.52
159,Abigail Moore,29.0,2023-10-31 02:48:41,4.0,,106966.07
160,Ms. Jessica Jones,73.0,2021-07-09 18:32:28,7.0,Male,71374.87
161,Anthony Jordan,76.0,2023-08-08 02:12:03,3.0,Male,
162,Veronica Ramos,246.0,2022-08-25 11:23:52,6.0,Female,108546.91
163,Miguel Gomez,132.0,2015-10-23 17:12:10,7.0,Other,81870.89
164,Tracy Kelley,150.0,2021-01-05 04:32:59,,Male,42530.88
165,Randy Chapman,276.0,2025-02-15 11:02:03,5.0,Female,99248.81
166,Amanda Martinez,167.0,2021-05-14 16:01:27,4.0,Other,32069.16
167,Robert Copeland,210.0,,,,106928.57
168,Alexis Shah,193.0,2022-11-08 20:11:30,4.0,Female,
169,Timothy Stephens,272.0,2017-09-09 18:05:44,4.0,Female,55754.41
170,Robert Wilson,300.0,2016-10-12 01:26:49,5.0,Other,37368.43
171,Alexandra Tucker,295.0,2017-10-01 12:33:47,5.0,,116232.57
172,Jonathan Lindsey,93.0,2022-09-19 07:23:10,7.0,Male,111109.24
173,Gary Perry,3.0,2018-09-07 17:47:22,3.0,Male,89668.1
174,Benjamin Hicks,84.0,2023-11-15 00:32:45,3.0,,79420.52
175,David Schwartz,16.0,2021-12-14 12:02:26,1.0,Other,114886.66
176,Bradley Jones,23.0,2021-10-29 15:53:54,,Male,53869.05
177,Jessica West,93.0,2023-03-12 16:21:14,4.0,,52130.99
178,Brandon Evans,256.0,2016-04-01 16:51:30,6.0,Other,32836.69
179,Roy Dennis,188.0,2024-03-13 07:35:42,6.0,Other,118521.82
180,Gary Lopez,24.0,2021-10-27 03:00:14,3.0,Other,76108.25
181,Jonathan Johnson,128.0,2016-01-09 08:37:49,4.0,Other,98745.97
182,Emily Mitchell,183.0,2019-01-17 06:39:14,,Male,88016.17
183,Heather Ferguson,273.0,2021-01-01 22:22:09,,Male,40602.98
184,Sara Clark,74.0,2016-02-24 22:35:34,6.0,Male,89778.68
185,Kristin Allison,,2019-08-29 14:48:10,7.0,Male,116135.04
186,,123.0,2018-05-01 13:16:54,4.0,Female,88069.04
187,Richard Alvarez,81.0,2018-11-30 05:19:54,4.0,Other,
188,Thomas Graham,245.0,2023-03-02 22:08:54,6.0,Female,42565.21
189,James Owens,64.0,2020-07-22 03:37:26,2.0,Male,
190,Lisa Morris,,2017-03-29 03:31:10,,,34702.52
191,Kerry Hall,200.0,2025-03-13 05:52:02,4.0,Female,107637.16
192,Jason Hicks,28.0,2016-07-16 06:00:31,,,38295.18
193,Paula Thompson,121.0,2020-03-15 09:09:24,7.0,Other,64241.34
194,Michael Morton,32.0,2024-05-31 16:12:16,7.0,Male,54456.67
195,Kimberly Richardson,290.0,2016-12-21 22:04:11,6.0,Male,66563.36
196,Hailey Matthews MD,268.0,2017-11-09 21:10:48,6.0,,82029.88
197,Christopher Adams,142.0,2020-09-27 17:33:56,4.0,Male,93675.2
198,,219.0,2019-07-06 10:58:29,,Female,59922.6
199,Kevin Williams,,2018-11-25 20:51:16,3.0,Other,55190.55
200,Patricia Carr,54.0,2020-10-27 11:30:20,3.0,Male,109933.46
201,Raymond Dean,195.0,2016-01-01 19:32:37,,Other,78304.9
202,Brian Williams,193.0,2018-04-22 22:22:43,1.0,Male,85835.84
203,Thomas Graham,,2019-03-26 01:05:46,3.0,,88438.66
204,Ms. Lisa Young,220.0,2017-03-04 01:01:14,1.0,Male,79273.46
205,Christopher Powers,287.0,2017-04-19 18:32:09,6.0,Other,67893.41
206,Carl Wood,10.0,2018-06-21 07:07:55,5.0,Male,102146.04
207,Lisa Collins,194.0,2022-05-14 04:07:32,3.0,Female,57833.76
208,Caitlin Hudson,271.0,2022-11-29 09:08:44,6.0,Other,97631.59
209,Patrick Gibbs,192.0,2018-11-02 14:28:33,3.0,,
210,Michael Park,,2024-03-02 13:28:03,4.0,,102785.15
211,Caitlin Jackson,259.0,,3.0,Female,65463.23
212,Barbara Turner,255.0,2024-01-18 02:23:09,1.0,Male,63287.58
213,Kathleen Miranda,48.0,2018-07-31 00:04:34,7.0,,85102.73
214,Mark Hall,,2022-06-16 09:46:30,5.0,,109969.58
215,Whitney Miller,168.0,2022-11-28 22:35:26,1.0,Other,70654.49
216,Edward Young,16.0,2020-02-16 16:14:56,1.0,Female,69958.65
217,Vicki Smith,263.0,2018-02-21 00:32:55,3.0,,65395.49
218,Eric Freeman,244.0,2017-02-07 07:54:52,6.0,Other,85180.42
219,Jonathan Graham,280.0,2018-09-20 13:20:10,5.0,,97697.9
