id,first_name,last_name,email,gender,age,country,city,phone_number,job_title,department,salary,hire_date,is_active,performance_score
1,Megan,Chang,greenwilliam@yahoo.com,Female,44,Uruguay,Tammystad,001-382-421-9489,Data processing manager,monetize,33643.59,2021-03-05,False,2.62
2,Thomas,Garcia,cheryl38@yahoo.com,Female,48,Kenya,Bryanside,1609753513,Tax inspector,enhance,62224.44,2024-10-18,True,3.02
3,Seth,Miller,jrodriguez@yahoo.com,Female,26,Romania,New Marvinside,989.471.9659,Financial controller,envisioneer,98022.38,2018-09-26,False,4.95
4,Antonio,Zavala,rjones@gmail.com,Non-Binary,63,Turkey,North Megan,001-868-483-3969x477,Marketing executive,evolve,102919.55,2017-07-09,True,2.24
5,Tom,Mccoy,allennelson@robinson.com,Non-Binary,22,Bolivia,Port Heidi,9891013991,"Nurse, adult",evolve,110895.45,2016-03-06,False,2.89
6,Catherine,Lee,mendozajessica@giles.net,Male,40,Jamaica,Port Jordanbury,456-208-7091,"Nurse, adult",aggregate,69075.47,2023-07-23,True,4.87
7,Mary,Sellers,tammybrown@moore.com,Female,46,Nauru,Wadetown,698.456.4280x7150,Sport and exercise psychologist,empower,107877.89,2023-10-03,False,1.25
8,Michael,Roberts,jenniferhughes@yahoo.com,Non-Binary,18,Switzerland,North Brookemouth,(337)696-0696,Armed forces training and education officer,leverage,38394.47,2019-12-20,False,3.84
9,Jacqueline,Griffin,hensontroy@yahoo.com,Non-Binary,58,Taiwan,Williamschester,812.066.5030,"Accountant, chartered",transition,30102.85,2017-07-31,False,4.31
10,Charlene,Gonzalez,haley21@yahoo.com,Female,33,Timor-Leste,Burtontown,714-285-1240x003,Futures trader,engage,95725.07,2025-03-19,True,1.76
11,Renee,Williams,xbowman@hotmail.com,Non-Binary,32,Christmas Island,South Brenda,2245551590,Architectural technologist,empower,51475.43,2025-06-26,True,4.21
12,Keith,Foster,danny30@white-mills.com,Female,23,Gabon,Houstonport,(118)775-5171x76045,"Designer, furniture",redefine,37240.12,2025-02-28,False,4.5
13,Nicholas,Villegas,mortonjames@brown.com,Female,24,India,Shanefort,001-361-534-9263,Mechanical engineer,embrace,57130.21,2024-07-03,False,3.83
14,Shannon,Rhodes,nsanders@williams.com,Non-Binary,39,Bosnia and Herzegovina,South Nicholas,+1-219-729-6687,IT trainer,e-enable,103302.02,2018-12-30,True,4.86
15,Amy,Velazquez,janice55@warren.org,Non-Binary,,Slovenia,Port Nicholas,711-801-3204x0752,Database administrator,cultivate,82885.54,2024-02-24,False,1.37
16,Patrick,Moreno,gregorylinda@mooney.com,Female,38,French Guiana,Petersenfort,(993)002-4894x5174,Immunologist,revolutionize,81808.59,2022-02-01,False,1.74
17,Bryan,Davidson,justingreer@mcmahon.biz,Male,20,Cambodia,Wuland,+1-256-097-6701x72009,Waste management officer,enable,85149.59,2024-11-25,False,2.91
18,Deborah,Lee,ibarrachelsea@yahoo.com,Male,61,New Zealand,Debraport,(641)830-6753,"Programmer, applications",seize,98184.35,2016-03-28,True,4.69
